SUNRIDGE EQUIPMENT RENTALS
INVOICE

INVOICE NO: 88-104772
CONTRACT NO. 4471902-001
P.O. #: JOB-2291
INVOICE DATE 05/12/26
BILLING PERIOD 05/04/26 - 05/11/26
BILLED THRU 05/11/26

DESCRIPTION                          AMOUNT
CAT 259D3 SKID STEER  UNIT SS-2214
  RENTAL 05/04-05/11 @ WEEK           855.00
  RENTAL 1 DAY EXTENSION              285.00
DELIVERY CHARGE                       125.00
PICKUP / HAUL OUT                     125.00
ENVIRONMENTAL RECOVERY FEE             17.10
RPP (DAMAGE WAIVER) 12%               136.80
FUEL SURCHARGE                         42.00

                     SUBTOTAL       1,585.90
                     SALES TAX 8.25%  130.84
                     TOTAL DUE      1,716.74
